file_name,min,max,mean
2737.bmp,31,255,113.62100746861593
979.bmp,17,255,61.143651676465915
2008.bmp,6,255,23.746702685523598
2943.bmp,44,255,129.3319561417448
1917.bmp,4,255,44.13872556809153
71.bmp,3,255,24.20292388368028
2727.bmp,21,255,68.5194660734149
1154.bmp,3,255,29.737327188940093
554.bmp,10,255,33.128237724455744
976.bmp,6,255,72.74543143174957
173.bmp,7,255,39.38677896075004
2640.bmp,6,255,44.13252820594311
779.bmp,5,255,32.95280470363896
1565.bmp,31,255,82.96090894644844
2753.bmp,11,255,34.711266486572384
2876.bmp,22,255,51.60940727792786
2095.bmp,40,255,150.09597965993962
1173.bmp,20,255,51.10805657079295
310.bmp,0,255,25.520896233910694
1409.bmp,13,255,47.41903702526617
977.bmp,21,255,63.42968377562371
640.bmp,4,255,27.259653583346577
2337.bmp,20,255,93.47799141903702
2167.bmp,49,255,139.74129985698394
314.bmp,30,255,121.60241538217066
2224.bmp,13,255,58.15461624026696
142.bmp,6,255,41.96281582710949
2154.bmp,10,255,35.420308279040206
95.bmp,0,255,22.43190846972827
2736.bmp,2,255,21.363101859208644
974.bmp,13,255,35.68361671698713
414.bmp,28,255,73.10757985062769
933.bmp,16,255,98.99110122358175
302.bmp,5,255,23.428094708406167
2541.bmp,9,255,34.04099793421262
2513.bmp,5,255,39.67487684729064
1490.bmp,0,255,45.10948673128873
185.bmp,3,255,22.18782774511362
2174.bmp,0,255,41.389798188463374
107.bmp,35,255,117.08279040203401
2840.bmp,26,255,108.78420467185762
2665.bmp,4,255,36.389798188463374
1014.bmp,6,255,37.9686953758144
2539.bmp,9,255,32.64722707770539
1856.bmp,10,255,44.10106467503575
93.bmp,6,255,34.859367551247416
2629.bmp,9,255,45.440171619259495
2770.bmp,16,255,45.67964404894327
2880.bmp,21,255,69.72540918480851
98.bmp,12,255,43.82663276656603
631.bmp,9,255,37.19783886858414
995.bmp,2,255,33.336246623232164
628.bmp,8,255,31.166057524233274
488.bmp,8,255,40.02510726203718
226.bmp,3,255,27.546321309391388
1822.bmp,5,255,35.140314635309075
958.bmp,33,255,103.5267757826156
246.bmp,6,255,29.419037025266167
1468.bmp,6,255,36.32258064516129
1423.bmp,14,255,58.9596376926744
2707.bmp,23,255,78.5062768155093
655.bmp,26,255,127.71142539329414
168.bmp,21,255,50.480533926585096
1368.bmp,29,255,105.2602892102336
2839.bmp,39,255,98.10742094390592
1160.bmp,6,255,30.75703162243763
2760.bmp,5,255,29.666613697759416
2247.bmp,23,255,58.67551247417766
520.bmp,31,255,95.82949308755761
2925.bmp,0,255,16.74606705863658
11.bmp,5,255,31.522803114571747
443.bmp,22,255,71.30605434609885
733.bmp,34,255,104.5817575083426
2005.bmp,26,255,97.70824725885905
83.bmp,0,255,27.41617670427459
1513.bmp,12,255,55.68584141109169
1735.bmp,22,255,89.21182266009852
2478.bmp,12,255,59.010805657079295
2031.bmp,7,255,32.84172890513269
828.bmp,15,255,43.40934371523915
1088.bmp,10,255,44.78515811218814
2445.bmp,14,255,39.878436357857936
556.bmp,13,255,64.01271253774034
1552.bmp,13,255,36.84300015890672
76.bmp,10,255,28.960273319561416
1796.bmp,20,255,55.25345622119816
2467.bmp,11,255,39.05339265850945
1966.bmp,51,255,126.19926902907993
460.bmp,23,255,92.93151120292389
1039.bmp,31,255,106.7815032575878
1037.bmp,41,255,126.10757985062769
158.bmp,12,255,43.866677260448114
2971.bmp,9,255,34.20896233910695
2759.bmp,13,255,35.95534721118703
843.bmp,21,255,135.70204989671063
1480.bmp,26,255,95.34768790719848
617.bmp,20,255,56.771492134117274
2242.bmp,10,255,26.07198474495471
2520.bmp,5,255,54.16367392340696
2415.bmp,12,255,48.736850468774826
2832.bmp,18,255,120.04338153503893
565.bmp,0,255,28.966152868266327
2313.bmp,3,255,24.845701573176544
2456.bmp,17,255,63.24916573971079
2857.bmp,7,255,26.872715715874783
2388.bmp,8,255,42.99030668997299
1177.bmp,0,255,20.879866518353726
266.bmp,16,255,48.581916415064356
744.bmp,10,255,39.52629906245034
1001.bmp,3,255,29.941522326394406
156.bmp,27,255,87.75989194342921
1666.bmp,4,255,18.214841887811854
486.bmp,4,255,17.70713491180677
1191.bmp,5,255,21.707452725250278
1415.bmp,23,255,110.99523279834737
282.bmp,15,255,56.46289528047036
700.bmp,8,255,46.43476879071985
1164.bmp,10,255,27.54234864134753
1429.bmp,11,255,39.93055776259336
902.bmp,19,255,41.036230732559986
336.bmp,0,255,18.583982202447164
31.bmp,25,255,81.8312410614969
1435.bmp,21,255,55.22008580962975
1886.bmp,3,255,17.76370570475131
2756.bmp,7,255,31.942157953281423
2811.bmp,24,255,98.76974416017798
2534.bmp,20,255,58.894327030033374
1002.bmp,7,255,55.15636421420626
1185.bmp,17,255,60.695693627840456
584.bmp,39,255,124.29969807722867
2819.bmp,1,255,15.611949785475925
37.bmp,24,255,66.95709518512633
727.bmp,32,255,120.69855394883204
1685.bmp,3,255,26.481328460193865
122.bmp,43,255,132.6124265056412
141.bmp,9,255,50.29604322262832
564.bmp,5,255,21.155728587319242
2021.bmp,24,255,65.37724455744478
1854.bmp,15,255,71.71523915461624
2845.bmp,5,255,33.04449388209121
1453.bmp,6,255,23.08962339106944
781.bmp,40,255,126.81598601620848
1385.bmp,18,255,56.355156523120925
1086.bmp,6,255,38.45288415699984
2614.bmp,3,255,25.862227872238996
1482.bmp,8,255,35.05927220721436
2222.bmp,16,255,50.2348641347529
2354.bmp,10,255,46.207214365167644
348.bmp,6,255,20.81582710948673
2624.bmp,5,255,27.064357222310505
1956.bmp,24,255,98.78579373907516
1321.bmp,10,255,36.22787223899571
2040.bmp,15,255,55.20117590974098
2601.bmp,2,255,27.176704274590815
2927.bmp,12,255,43.8935324964246
1870.bmp,13,255,34.799777530589544
1119.bmp,36,255,130.54393770856507
2725.bmp,26,255,117.247735579215
1709.bmp,27,255,104.79580486254568
66.bmp,14,255,69.35563324328619
836.bmp,12,255,49.76386461147307
2126.bmp,8,255,29.205307484506594
1706.bmp,31,255,120.23311616081361
2004.bmp,30,255,70.19418401398379
1991.bmp,13,255,43.695216907675196
735.bmp,5,255,24.296678849515335
2684.bmp,3,255,19.30160495788972
2369.bmp,18,255,53.93246464325441
1680.bmp,7,255,30.984744954711584
748.bmp,15,255,57.90624503416495
398.bmp,7,255,23.449388209121246
1885.bmp,10,255,38.1597012553631
176.bmp,15,255,51.96472270777054
2826.bmp,6,255,21.914667090417925
663.bmp,12,255,92.44096615286827
1676.bmp,49,255,157.00953440330525
1041.bmp,6,255,41.48402987446369
1912.bmp,14,255,46.427617988240904
526.bmp,17,255,72.82281900524393
308.bmp,10,255,26.834260289210235
1566.bmp,6,255,24.812013348164626
1819.bmp,9,255,53.84172890513269
2346.bmp,12,255,43.00397266804386
331.bmp,21,255,54.31177498808199
1528.bmp,6,255,36.339742571110754
101.bmp,14,255,43.64849833147942
1216.bmp,35,255,115.07436834578102
736.bmp,0,255,21.607977117432068
1329.bmp,0,255,21.102812648975053
432.bmp,16,255,64.69219767996186
22.bmp,12,255,51.957730812013345
2816.bmp,24,255,66.12235817575083
2981.bmp,5,255,22.826314953122516
1240.bmp,9,255,34.22644207849992
2052.bmp,35,255,111.29572540918481
2210.bmp,19,255,109.95534721118703
1298.bmp,0,255,21.12887335134276
2116.bmp,28,255,74.18766883839186
1180.bmp,58,255,141.9529636103607
2705.bmp,2,255,18.239472429683776
1850.bmp,6,255,21.958684252343875
2980.bmp,45,255,133.5139043381535
2159.bmp,9,255,57.75131098045447
2781.bmp,6,255,27.13729540759574
2258.bmp,25,255,102.7595741299857
2945.bmp,4,255,33.21976799618624
2896.bmp,0,255,15.348482440807246
2074.bmp,10,255,36.00238360082631
143.bmp,25,255,67.23740664230097
1803.bmp,16,255,113.72175433020817
1120.bmp,4,255,28.359447004608295
194.bmp,8,255,30.34355633243286
1720.bmp,6,255,21.833624662323217
2619.bmp,43,255,125.25377403464167
1980.bmp,25,255,111.74209439059273
1308.bmp,8,255,54.58302876211664
384.bmp,0,255,62.40409979342126
294.bmp,9,255,44.660257428889246
1445.bmp,31,255,114.37501986334021
53.bmp,0,255,16.406324487525822
2169.bmp,7,255,22.056411886222786
2532.bmp,38,255,125.75480692833307
1141.bmp,28,255,102.25059590020658
1800.bmp,17,255,48.853329095820754
1125.bmp,39,255,88.4273001747974
1642.bmp,10,255,34.69585253456221
431.bmp,16,255,56.81948196408708
2851.bmp,27,255,78.51438105831876
1932.bmp,9,255,25.73430796122676
636.bmp,31,255,100.86206896551724
2023.bmp,12,255,42.23263944064834
238.bmp,6,255,40.18623867789608
2029.bmp,4,255,24.35515652312093
1170.bmp,7,255,39.16367392340696
372.bmp,11,255,46.62498013665978
1012.bmp,22,255,60.161925949467665
166.bmp,32,255,126.40584776736056
1650.bmp,5,255,23.970443349753694
725.bmp,9,255,40.10535515652312
2399.bmp,8,255,21.511044017161925
1053.bmp,22,255,92.1555696805975
1663.bmp,7,255,34.74829175274114
1257.bmp,10,255,37.089941204512954
585.bmp,49,255,129.17765771492134
2370.bmp,32,255,119.9189575719053
1205.bmp,32,255,120.11139361194978
2392.bmp,30,255,131.69426346734465
2263.bmp,9,255,55.50405212140473
2259.bmp,2,255,37.79723502304147
997.bmp,2,255,25.48879707611632
1036.bmp,9,255,47.13618306054346
77.bmp,32,255,87.77816621643096
2444.bmp,13,255,42.960273319561416
272.bmp,0,255,32.68504687748292
1544.bmp,33,255,133.15699984109327
2680.bmp,0,255,44.89321468298109
369.bmp,4,255,35.13141585889083
1068.bmp,26,255,85.3357699030669
813.bmp,0,255,16.504846655013505
964.bmp,1,255,15.405371047195297
2233.bmp,40,255,145.55760368663596
1253.bmp,10,255,59.975528364849836
970.bmp,9,255,49.231368186874306
677.bmp,12,255,45.89686953758144
1466.bmp,34,255,118.26585094549499
2215.bmp,12,255,37.405212140473544
2937.bmp,8,255,40.71651040839028
2214.bmp,18,255,55.55506117908787
2483.bmp,6,255,19.690449706022566
2453.bmp,24,255,101.82917527411409
2922.bmp,7,255,33.7706976005085
1799.bmp,21,255,91.39583664389004
740.bmp,40,255,124.61957730812013
1139.bmp,40,255,133.228984586048
1218.bmp,12,255,39.938185285237566
2625.bmp,10,255,37.648657238201174
1130.bmp,6,255,35.51374543143175
1688.bmp,2,255,26.05720641983156
2891.bmp,10,255,38.8239313522962
2121.bmp,16,255,75.58874940409979
1902.bmp,8,255,32.821865564913395
464.bmp,12,255,66.86334021929127
863.bmp,20,255,67.92372477355792
1397.bmp,6,255,47.433815350389324
1621.bmp,0,255,31.021611314158587
2607.bmp,10,255,31.265374225329733
2786.bmp,25,255,64.38280629270618
1076.bmp,5,255,34.752105514063246
2654.bmp,10,255,39.616399173685046
1913.bmp,20,255,64.50866041633562
1601.bmp,17,255,42.75035754012395
82.bmp,8,255,31.828857460670587
1703.bmp,11,255,39.34578102653742
1335.bmp,10,255,47.89464484347688
2475.bmp,9,255,43.418242491657395
1481.bmp,40,255,136.6656602574289
802.bmp,8,255,22.228825679326235
1098.bmp,40,255,136.25170824725885
2955.bmp,9,255,50.067694263467345
1038.bmp,16,255,51.5118385507707
993.bmp,38,255,126.57254091848085
807.bmp,12,255,42.21579532814238
1594.bmp,36,255,124.35912919116478
2718.bmp,10,255,36.84220562529795
1517.bmp,10,255,41.25139043381535
674.bmp,16,255,46.313840775464804
2671.bmp,21,255,58.22326394406483
562.bmp,6,255,28.12029238836803
2730.bmp,2,255,27.88368027967583
932.bmp,3,255,21.239790243127285
2564.bmp,5,255,48.720800889877644
519.bmp,26,255,91.71460352772922
2557.bmp,4,255,27.473859844271413
2814.bmp,38,255,112.76688383918639
1877.bmp,16,255,44.65835054822819
2066.bmp,8,255,30.531542984268235
1864.bmp,37,255,120.62688701732083
349.bmp,14,255,96.54759256316542
875.bmp,5,255,39.125059590020655
1105.bmp,8,255,32.81137772127761
1373.bmp,19,255,63.27713332273955
1234.bmp,3,255,23.245034164945178
992.bmp,18,255,65.1249006832989
1784.bmp,26,255,110.81948196408707
2403.bmp,48,255,145.4603527729223
1793.bmp,13,255,56.41903702526617
965.bmp,7,255,35.05402828539647
1422.bmp,3,255,26.25361512791991
1525.bmp,9,255,85.44382647385984
2184.bmp,8,255,23.964563801048783
2732.bmp,4,255,30.31193389480375
491.bmp,0,255,21.451930716669317
304.bmp,7,255,35.74447799141904
2213.bmp,22,255,98.4182424916574
1882.bmp,13,255,57.013665978070875
224.bmp,0,255,30.012394724296836
1521.bmp,38,255,130.09740982043542
1305.bmp,17,255,66.75417130144605
939.bmp,12,255,54.48593675512474
627.bmp,6,255,36.853805815986014
1534.bmp,27,255,149.24614651199747
507.bmp,13,255,37.64659145081837
754.bmp,9,255,42.244239631336406
1848.bmp,8,255,36.560146194184014
2910.bmp,8,255,38.40123947242969
2708.bmp,16,255,58.975846178293345
2777.bmp,16,255,85.1175909740982
2754.bmp,5,255,25.85030986810742
1166.bmp,18,255,54.89273796281583
1467.bmp,0,255,38.28507865882727
237.bmp,32,255,118.24408072461465
146.bmp,14,255,40.884792626728114
364.bmp,16,255,56.39710789766407
