file_name,min,max,mean
NG_b157_2021-07-05_15-51-16-4180.bmp,8,175,33.3141269770151
NG_2019-11-15_10-53-01-6700.bmp,20,255,45.337456100168
NG_2019-11-14_15-40-34-8600.bmp,19,102,46.4487029402284
NG_2019-11-14_15-41-03-5310.bmp,17,98,43.0828116251845
NG_68+2019-11-20_14-52-17-6500.bmp,14,255,29.4959535806993
NG_2019-11-14_10-21-46-6460.bmp,23,140,48.2989430108074
NG_b157_2021-07-05_16-10-47-6960.bmp,17,255,102.506817808444
NG_b157_2021-07-05_16-54-01-6830.bmp,19,255,115.247621607898
NG_b157_2021-07-05_16-48-13-0480.bmp,10,156,45.75805367624
NG_b157_2021-07-05_16-06-46-5480.bmp,21,255,132.375330435951
NG_b157_2021-07-05_16-29-12-1970.bmp,7,255,21.5880042415281
NG_b157_2021-07-05_16-03-52-9230.bmp,20,255,121.132249055364
NG_b157_2021-07-05_15-54-17-2110.bmp,9,176,40.1676299714742
NG_b157_2021-07-05_16-57-42-2210.bmp,19,255,114.732619442329
NG_2019-11-15_10-40-28-5860.bmp,14,114,38.4218116421506
NG_68+2019-11-13_11-27-43-8810.bmp,17,122,47.6548073497226
NG_b157_2021-07-05_16-29-21-1120.bmp,7,255,21.5296533596189
NG_b157_2021-07-05_16-46-13-3510.bmp,7,92,15.9723553922667
NG_b157_2021-07-05_15-49-23-6600.bmp,10,255,33.4004659706976
NG_b157_2021-07-05_16-52-32-9390.bmp,7,99,14.7029138103559
NG_b157_2021-07-05_16-20-13-3130.bmp,20,255,110.379840793345
NG_68+2019-11-12_14-25-11-8250.bmp,32,125,66.3487555351962
NG_b157_2021-07-05_16-29-59-0180.bmp,7,149,20.9565094015562
NG_b157_2021-07-05_16-26-04-2650.bmp,16,255,98.8417939871858
NG_68+2019-11-13_11-28-07-6810.bmp,14,126,43.5992602772264
NG_2019-11-15_15-21-21-1590.bmp,15,104,29.0939583651448
NG_b157_2021-07-05_16-51-23-3720.bmp,7,147,14.2608539809131
NG_b157_2021-07-05_16-25-19-5620.bmp,18,255,106.96349896202
NG_b157_2021-07-05_16-55-06-5050.bmp,19,255,121.572277730484
NG_b157_2021-07-05_16-42-32-0340.bmp,23,255,124.365294144003
NG_b157_2021-07-05_16-21-14-4200.bmp,18,255,108.043938647191
NG_68+2019-11-13_11-03-15-5060.bmp,19,68,38.5575575575576
NG_2019-11-15_10-47-18-7330.bmp,14,247,30.72085644967
NG_68+2019-11-13_11-27-32-1150.bmp,18,121,52.6934561680324
NG_b157_2021-07-05_16-11-18-2790.bmp,17,255,100.123691324283
NG_b157_2021-07-05_15-53-58-2820.bmp,10,234,41.412294457637
NG_2019-11-15_14-57-58-7460.bmp,15,115,30.1915983780391
NG_68+2019-11-13_11-03-10-8600.bmp,18,148,38.8338507999525
NG_b157_2021-07-05_16-25-27-3310.bmp,16,255,102.398195857043
NG_2019-11-14_10-37-09-6710.bmp,16,131,30.7598615564717
NG_b157_2021-07-05_16-37-35-8750.bmp,8,255,24.5857490628314
NG_b157_2021-07-05_15-51-35-7320.bmp,9,255,33.2400197141449
NG_b157_2021-07-05_16-40-26-5800.bmp,18,255,112.725674686739
NG_2019-11-15_09-52-26-0250.bmp,13,101,27.6935070663884
NG_68+2019-11-20_13-55-58-5380.bmp,11,255,22.763000288424
NG_b157_2021-07-05_16-15-26-9460.bmp,17,255,103.974028107591
NG_b157_2021-07-05_15-52-02-4610.bmp,9,123,35.0485535492928
NG_b157_2021-07-05_16-25-05-9950.bmp,17,254,96.4100691488567
NG_b157_2021-07-05_16-24-46-5780.bmp,17,255,97.7266305240677
NG_68+2019-11-13_11-12-51-7090.bmp,11,99,27.3371337439134
NG_b157_2021-07-05_16-10-36-2780.bmp,17,255,102.088624042296
NG_68+2019-11-15_10-20-16-7220.bmp,12,135,27.7151897660372
NG_b157_2021-07-05_16-31-48-2600.bmp,8,152,25.0398315336709
NG_b157_2021-07-05_15-49-37-2720.bmp,9,201,31.3061965141807
NG_b157_2021-07-05_16-52-05-8620.bmp,6,212,14.9253998835073
NG_2019-11-14_10-37-28-5360.bmp,16,97,30.1621112638062
NG_b157_2021-07-05_15-52-07-9250.bmp,10,101,35.5746374538883
NG_68+2019-11-20_14-51-54-0710.bmp,12,255,28.9088749766716
NG_b157_2021-07-05_16-15-53-7630.bmp,18,248,103.370521379393
NG_2019-11-14_10-05-45-2720.bmp,19,123,47.8296432025246
